Stacja ELF ELA7c13.11.2008 07:401 3 T: 08.8
32855	32245
32866	32157
32811	32061
32765	32165
32775	32181
32816	32072
32841	32126
32858	32227
32859	32133
32859	32066
32839	32185
32834	32223
32838	32098
32819	32123
32809	32215
32823	32099
32851	32020
32870	32157
32882	32194
32890	32071
32885	32098
32911	32222
32963	32165
32947	32088
32902	32185
32894	32191
32887	32061
32845	32074
32860	32189
32821	32127
32809	32047
32788	32158
32835	32205
32911	32081
32943	32081
32933	32215
32927	32191
32931	32121
32917	32207
32913	32245
32905	32117
32860	32094
32861	32191
32937	32158
32939	32071
32889	32151
32909	32201
32926	32115
32855	32113
32826	32199
32935	32166
33002	32085
32901	32167
32834	32245
32859	32137
32820	32102
32744	32229
32860	32241
32839	32173
32782	32255
32705	32303
32739	32175
32803	32167
32759	32291
32715	32254
32749	32125
32770	32175
32793	32282
32819	32201
32805	32148
32860	32217
32805	32187
32825	32087
32814	32157
32858	32225
32919	32127
32903	32097
32855	32171
32885	32125
32927	32092
32919	32067
32893	32127
32903	31997
32939	31942
32943	32067
32932	32076
32948	31959
32939	31980
32889	32043
32861	31931
32881	31852
32913	31973
32966	31993
33002	31861
32989	31883
33005	31995
33054	31921
33073	31842
33072	31926
33061	31919
33116	31790
33009	31823
32986	31917
32979	31826
32984	31749
32991	31857
32977	31876
32977	31743
33007	31767
33052	31882
33057	31801
33027	31689
33021	31785
33025	31815
33022	31644
33028	31618
33059	31836
33094	31703
33075	31547
33018	31601
33001	31649
33006	31525
32993	31580
32977	31602
32963	31546
32938	31445
32971	31555
33029	31621
33002	31459
32932	31415
32932	31562
32973	31554
32977	31430
32917	31476
32899	31539
32953	31447
32989	31439
32993	31551
32985	31495
32957	31341
32959	31389
32987	31465
32973	31337
32947	31276
32949	31395
32954	31371
32957	31257
32953	31299
32935	31364
32933	31255
32913	31193
32898	31284
32923	31285
32963	31157
32959	31193
32953	31290
32973	31205
32979	31147
32967	31255
32993	31259
33042	31157
33015	31203
32962	31293
32941	31183
32945	31086
32977	31192
33003	31231
32983	31115
32954	31104
32961	31167
32961	31087
32951	31013
32938	31097
32959	31074
32985	30934
32981	30999
32963	31129
32975	31026
33011	30915
32997	31068
32935	31003
32910	30901
32891	30933
32871	31041
32841	30949
32847	30869
32893	31009
32937	31076
32930	30961
32887	30955
32871	31039
32899	30973
32928	30941
32921	31069
32898	31061
32907	30911
32915	30947
32875	31099
32861	31057
32862	30954
32847	31014
32870	31063
32922	30959
32931	30959
32887	31060
32895	31001
32941	30916
32939	30990
32914	31025
32905	30905
32873	30903
32853	31017
32893	30965
32930	30903
32904	31030
32883	31050
32906	30865
32951	30842
32923	30961
32877	30889
32889	30777
32881	30881
32842	30958
32835	30845
32839	30818
32834	30933
32847	30901
32871	30794
32855	30864
32849	30954
32879	30845
32901	30795
32869	30911
32844	30897
32839	30751
32809	30782
32801	30906
32837	30851
32826	30777
32818	30879
32845	30903
